base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
xrp,btc,0.00002749,0.00002992,0.00002814,SPOT,2.902e-05,35436.9,0.00002842,0.00002807,2021-05-07 07:59:57,XRP/BTC,2021-05-07,07:59:57
trx,btc,0.00000241,0.00000298,0.0000028,SPOT,2.5e-06,1036590.0,0.00000284,0.0000028,2021-05-07 07:59:57,TRX/BTC,2021-05-07,07:59:57
eth,btc,0.059672,0.063031,0.061861,SPOT,0.060363,34.6763,0.061778,0.0617,2021-05-07 07:59:57,ETH/BTC,2021-05-07,07:59:57
zil,btc,0.00000381,0.00000445,0.00000417,SPOT,3.79e-06,144635.0,0.00000416,0.00000408,2021-05-07 07:59:57,ZIL/BTC,2021-05-07,07:59:57
bat,btc,0.00002394,0.00002819,0.00002693,SPOT,2.368e-05,15056.29,0.00002693,0.0000265,2021-05-07 07:59:57,BAT/BTC,2021-05-07,07:59:57
ltc,btc,0.005852,0.006651,0.006539,SPOT,0.005933,113.348,0.006631,0.006539,2021-05-07 07:59:57,LTC/BTC,2021-05-07,07:59:57
qkc,btc,0.00000055,0.00000059,0.00000058,SPOT,5.7e-07,151213.0,0.00000058,0.00000055,2021-05-07 07:59:57,QKC/BTC,2021-05-07,07:59:57
dash,btc,0.006765,0.008404,0.007941,SPOT,0.006921,60.557,0.007891,0.007755,2021-05-07 07:59:57,DASH/BTC,2021-05-07,07:59:57
fun,btc,0.00000073,0.00000084,0.0000008,SPOT,7.3e-07,132325.0,0.0000008,0.00000078,2021-05-07 07:59:57,FUN/BTC,2021-05-07,07:59:57
iost,btc,0.00000108,0.00000129,0.00000121,SPOT,1.09e-06,170752.0,0.00000121,0.00000116,2021-05-07 07:59:57,IOST/BTC,2021-05-07,07:59:57
nuls,btc,0.00001953,0.00002785,0.00002288,SPOT,1.953e-05,7322.0,0.00002323,0.00002318,2021-05-07 07:59:57,NULS/BTC,2021-05-07,07:59:57
omg,btc,0.000179,0.000357,0.000236,SPOT,0.000174,15063.98,0.000233,0.00023,2021-05-07 07:59:57,OMG/BTC,2021-05-07,07:59:57
req,btc,0.00000242,0.00000291,0.00000255,SPOT,2.64e-06,6746.84,0.00000268,0.00000258,2021-05-07 07:59:57,REQ/BTC,2021-05-07,07:59:57
snt,btc,0.0000036,0.0000042,0.00000381,SPOT,3.62e-06,24704.0,0.00000389,0.0000038,2021-05-07 07:59:57,SNT/BTC,2021-05-07,07:59:57
theta,btc,0.00019196,0.00020341,0.00020341,SPOT,0.00019573,205.0,0.00020221,0.00020049,2021-05-07 07:59:57,THETA/BTC,2021-05-07,07:59:57
zrx,btc,0.0000338,0.00003865,0.00003865,SPOT,3.295e-05,3056.55,0.00003865,0.00003807,2021-05-07 07:59:57,ZRX/BTC,2021-05-07,07:59:57
eos,btc,0.0001584,0.0002358,0.0002068,SPOT,0.000159,26116.8,0.0002099,0.0002068,2021-05-07 07:59:57,EOS/BTC,2021-05-07,07:59:57
icx,btc,0.0000417,0.0000473,0.0000455,SPOT,4.23e-05,463.01,0.0000461,0.0000452,2021-05-07 07:59:57,ICX/BTC,2021-05-07,07:59:57
poly,btc,0.00000655,0.00000795,0.00000795,SPOT,6.89e-06,14510.0,0.00000795,0.00000794,2021-05-07 07:59:57,POLY/BTC,2021-05-07,07:59:57
