base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
xrp,btc,2.732e-05,3.077e-05,2.824e-05,SPOT,2.76e-05,73657.9,2.873e-05,2.841e-05,2021-05-06 20:21:57,XRP/BTC,2021-05-06,20:21:57
trx,btc,2.37e-06,2.79e-06,2.59e-06,SPOT,2.41e-06,735032.0,2.63e-06,2.58e-06,2021-05-06 20:21:57,TRX/BTC,2021-05-06,20:21:57
eth,btc,0.059672,0.063031,0.061923,SPOT,0.060761,30.0328,0.062042,0.061923,2021-05-06 20:21:57,ETH/BTC,2021-05-06,20:21:57
zil,btc,3.72e-06,4.45e-06,4.19e-06,SPOT,3.73e-06,227228.0,4.22e-06,4.19e-06,2021-05-06 20:21:57,ZIL/BTC,2021-05-06,20:21:57
bat,btc,2.33e-05,2.495e-05,2.424e-05,SPOT,2.368e-05,4484.76,2.453e-05,2.42e-05,2021-05-06 20:21:57,BAT/BTC,2021-05-06,20:21:57
ltc,btc,0.0058,0.006335,0.005881,SPOT,0.0063,45.635,0.005922,0.005881,2021-05-06 20:21:57,LTC/BTC,2021-05-06,20:21:57
qkc,btc,5.3e-07,5.9e-07,5.8e-07,SPOT,5.3e-07,184263.0,5.8e-07,5.7e-07,2021-05-06 20:21:57,QKC/BTC,2021-05-06,20:21:57
dash,btc,0.006751,0.007748,0.007303,SPOT,0.007057,19.515,0.007512,0.007389,2021-05-06 20:21:57,DASH/BTC,2021-05-06,20:21:57
fun,btc,7e-07,8.4e-07,7.9e-07,SPOT,7.4e-07,127084.0,7.9e-07,7.4e-07,2021-05-06 20:21:57,FUN/BTC,2021-05-06,20:21:57
iost,btc,1.08e-06,1.17e-06,1.13e-06,SPOT,1.04e-06,112208.0,1.13e-06,1.1e-06,2021-05-06 20:21:57,IOST/BTC,2021-05-06,20:21:57
nuls,btc,1.953e-05,2.067e-05,2.049e-05,SPOT,1.953e-05,3443.0,2.036e-05,2.003e-05,2021-05-06 20:21:57,NULS/BTC,2021-05-06,20:21:57
omg,btc,0.000173,0.00019,0.000182,SPOT,0.000175,637.64,0.000189,0.000184,2021-05-06 20:21:57,OMG/BTC,2021-05-06,20:21:57
req,btc,2.42e-06,2.91e-06,2.91e-06,SPOT,2.72e-06,5072.0,2.61e-06,2.57e-06,2021-05-06 20:21:57,REQ/BTC,2021-05-06,20:21:57
snt,btc,3.16e-06,4.01e-06,3.68e-06,SPOT,3.16e-06,26492.0,3.75e-06,3.69e-06,2021-05-06 20:21:57,SNT/BTC,2021-05-06,20:21:57
theta,btc,0.00018978,0.0002,0.00019222,SPOT,0.00019006,179.1,0.00019254,0.00019081,2021-05-06 20:21:57,THETA/BTC,2021-05-06,20:21:57
zrx,btc,3.277e-05,3.603e-05,3.547e-05,SPOT,3.277e-05,1816.22,3.551e-05,3.455e-05,2021-05-06 20:21:57,ZRX/BTC,2021-05-06,20:21:57
eos,btc,0.000144,0.0002344,0.0002156,SPOT,0.0001438,10951.0,0.0002165,0.0002157,2021-05-06 20:21:57,EOS/BTC,2021-05-06,20:21:57
icx,btc,4.13e-05,4.4e-05,4.29e-05,SPOT,4.1e-05,1274.79,4.29e-05,4.21e-05,2021-05-06 20:21:57,ICX/BTC,2021-05-06,20:21:57
poly,btc,6.55e-06,6.92e-06,6.55e-06,SPOT,6.59e-06,22824.0,6.7e-06,6.55e-06,2021-05-06 20:21:57,POLY/BTC,2021-05-06,20:21:57
pax,btc,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-06 20:21:57,PAX/BTC,2021-05-06,20:21:57
usdc,btc,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-06 20:21:57,USDC/BTC,2021-05-06,20:21:57
xlm,btc,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-06 20:21:57,XLM/BTC,2021-05-06,20:21:57
fet,btc,1.003e-05,1.062e-05,1.013e-05,SPOT,1.05e-05,4411.0,1.013e-05,9.96e-06,2021-05-06 20:21:57,FET/BTC,2021-05-06,20:21:57
celr,btc,1.02e-06,1.08e-06,1.06e-06,SPOT,1.1e-06,782642.0,1.04e-06,1.03e-06,2021-05-06 20:21:57,CELR/BTC,2021-05-06,20:21:57
matic,btc,1.3e-05,1.458e-05,1.352e-05,SPOT,1.379e-05,146612.0,1.351e-05,1.339e-05,2021-05-06 20:21:57,MATIC/BTC,2021-05-06,20:21:57
ada,btc,2.411e-05,2.9e-05,2.808e-05,SPOT,2.598e-05,175566.7,2.851e-05,2.812e-05,2021-05-06 20:21:57,ADA/BTC,2021-05-06,20:21:57
rvn,btc,3e-06,3.22e-06,3.16e-06,SPOT,3e-06,5899.0,3.17e-06,3.14e-06,2021-05-06 20:21:57,RVN/BTC,2021-05-06,20:21:57
xmr,btc,0.0065,0.007616,0.007527,SPOT,0.007177,14.907,0.007533,0.00745,2021-05-06 20:21:57,XMR/BTC,2021-05-06,20:21:57
atom,btc,0.0004092,0.0004695,0.0004488,SPOT,0.0004092,707.72,0.0004505,0.0004451,2021-05-06 20:21:57,ATOM/BTC,2021-05-06,20:21:57
bnb,btc,0.011,0.01147,0.011234,SPOT,0.011375,170.197,0.011223,0.011176,2021-05-06 20:21:57,BNB/BTC,2021-05-06,20:21:57
wrx,btc,3.936e-05,4.32e-05,3.967e-05,SPOT,4.241e-05,251102.1,4.12e-05,3.96e-05,2021-05-06 20:21:57,WRX/BTC,2021-05-06,20:21:57
ftt,btc,0.0010042,0.0010349,0.0010237,SPOT,0.0010082,25.594,0.0010327,0.001026,2021-05-06 20:21:57,FTT/BTC,2021-05-06,20:21:57
stmx,btc,8.6e-07,9.5e-07,8.6e-07,SPOT,9.1e-07,92880.0,9.1e-07,9e-07,2021-05-06 20:21:57,STMX/BTC,2021-05-06,20:21:57
glm,btc,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-06 20:21:57,GLM/BTC,2021-05-06,20:21:57
xrp,btc,2.755e-05,3.006e-05,2.788e-05,SPOT,3.006e-05,42607.7,2.793e-05,2.758e-05,2021-05-07 03:07:56,XRP/BTC,2021-05-07,03:07:56
trx,btc,2.41e-06,2.98e-06,2.86e-06,SPOT,2.48e-06,1063662.0,2.88e-06,2.84e-06,2021-05-07 03:07:56,TRX/BTC,2021-05-07,03:07:56
eth,btc,0.059672,0.063031,0.061674,SPOT,0.061165,31.3027,0.062105,0.061674,2021-05-07 03:07:56,ETH/BTC,2021-05-07,03:07:56
zil,btc,3.72e-06,4.45e-06,3.96e-06,SPOT,3.78e-06,230449.0,4.04e-06,3.98e-06,2021-05-07 03:07:56,ZIL/BTC,2021-05-07,03:07:56
bat,btc,2.343e-05,2.735e-05,2.7e-05,SPOT,2.426e-05,7955.69,2.75e-05,2.715e-05,2021-05-07 03:07:56,BAT/BTC,2021-05-07,03:07:56
ltc,btc,0.0058,0.006578,0.006377,SPOT,0.006109,62.258,0.006548,0.006444,2021-05-07 03:07:56,LTC/BTC,2021-05-07,03:07:56
qkc,btc,5.5e-07,5.9e-07,5.8e-07,SPOT,5.6e-07,158815.0,5.9e-07,5.6e-07,2021-05-07 03:07:56,QKC/BTC,2021-05-07,03:07:56
