base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,inr,4300000.0,4540086.0,4352184.0,SPOT,4439994.0,546.27072,4352184.0,4351616.0,2021-05-07 01:49:57,BTC/INR,2021-05-07,01:49:57
xrp,inr,122.0,136.0,123.8999,SPOT,131.0,3071340.9,123.8999,123.5,2021-05-07 01:49:57,XRP/INR,2021-05-07,01:49:57
eth,inr,261132.3,280699.0,269535.4,SPOT,271533.4,1411.6862,270067.0,269535.4,2021-05-07 01:49:57,ETH/INR,2021-05-07,01:49:57
trx,inr,10.5989,12.98,12.76,SPOT,11.0952,62156062.0,12.761,12.7601,2021-05-07 01:49:57,TRX/INR,2021-05-07,01:49:57
eos,inr,660.01,1050.0,1035.0,SPOT,692.35,515431.68,1030.0,1026.51,2021-05-07 01:49:57,EOS/INR,2021-05-07,01:49:57
zil,inr,16.38,20.2,17.8,SPOT,16.6,7702105.0,17.8,17.66,2021-05-07 01:49:57,ZIL/INR,2021-05-07,01:49:57
bat,inr,103.0,115.1,115.0,SPOT,108.0,182149.64,115.0,113.011,2021-05-07 01:49:57,BAT/INR,2021-05-07,01:49:57
zrx,inr,144.04,165.0,163.02,SPOT,147.5,76021.83,163.02,163.01,2021-05-07 01:49:57,ZRX/INR,2021-05-07,01:49:57
omg,inr,752.0,1066.0,999.906,SPOT,769.0,47190.36,999.906,996.147,2021-05-07 01:49:57,OMG/INR,2021-05-07,01:49:57
iost,inr,4.72,5.73,5.43,SPOT,4.75,9769886.0,5.42,5.4,2021-05-07 01:49:57,IOST/INR,2021-05-07,01:49:57
dent,inr,0.737,0.793,0.767,SPOT,0.754,139251832.0,0.767,0.763,2021-05-07 01:49:58,DENT/INR,2021-05-07,01:49:58
hot,inr,1.14,1.213,1.19,SPOT,1.145,68683847.0,1.19,1.185,2021-05-07 01:49:58,HOT/INR,2021-05-07,01:49:58
usdt,inr,77.27,78.79,77.74,SPOT,78.04,29514260.17,77.74,77.7,2021-05-07 01:49:58,USDT/INR,2021-05-07,01:49:58
wrx,inr,173.01,193.78,184.35,SPOT,186.5,3980356.4,184.5,184.36,2021-05-07 01:49:58,WRX/INR,2021-05-07,01:49:58
matic,inr,57.3,64.0,60.636,SPOT,61.5,2114702.0,60.8,60.5,2021-05-07 01:49:58,MATIC/INR,2021-05-07,01:49:58
bch,inr,100000.0,123988.0,114630.0,SPOT,106300.0,1200.3107,114448.0,111360.0,2021-05-07 01:49:58,BCH/INR,2021-05-07,01:49:58
bnb,inr,48500.0,50993.81,48850.0,SPOT,50040.0,2066.4457,48998.59,48850.0,2021-05-07 01:49:58,BNB/INR,2021-05-07,01:49:58
btt,inr,0.541,0.7,0.673,SPOT,0.5453,1501431656.0,0.673,0.672,2021-05-07 01:49:58,BTT/INR,2021-05-07,01:49:58
chz,inr,2.5,2.5,2.5,SPOT,2.5,0.0,0.0,0.0,2021-05-07 01:49:58,CHZ/INR,2021-05-07,01:49:58
one,inr,0.56,0.56,0.56,SPOT,0.56,0.0,0.0,0.0,2021-05-07 01:49:58,ONE/INR,2021-05-07,01:49:58
yfi,inr,4000000.0,4499900.0,4117000.0,SPOT,4150007.0,1.242564,4125000.0,4117000.0,2021-05-07 01:49:58,YFI/INR,2021-05-07,01:49:58
uni,inr,3080.0,3350.0,3080.0,SPOT,3279.0,7428.23,3080.0,3070.0,2021-05-07 01:49:58,UNI/INR,2021-05-07,01:49:58
link,inr,3601.0,3900.0,3652.8,SPOT,3710.0,8397.25,3722.81,3652.8,2021-05-07 01:49:58,LINK/INR,2021-05-07,01:49:58
sxp,inr,372.0,409.99,376.25,SPOT,394.0,98764.78,378.82,376.26,2021-05-07 01:49:58,SXP/INR,2021-05-07,01:49:58
ada,inr,111.71,132.4898,124.0,SPOT,113.8,3880523.6,124.0,123.11,2021-05-07 01:49:58,ADA/INR,2021-05-07,01:49:58
nano,inr,380.0,380.0,380.0,SPOT,380.0,0.0,44900.0,0.02,2021-05-07 01:49:58,NANO/INR,2021-05-07,01:49:58
atom,inr,1900.0,2125.0,2043.0,SPOT,1993.81,8483.5,2043.0,2000.0,2021-05-07 01:49:58,ATOM/INR,2021-05-07,01:49:58
xlm,inr,46.5,54.8,49.01,SPOT,49.2,1415558.8,49.0927,49.05,2021-05-07 01:49:58,XLM/INR,2021-05-07,01:49:58
fet,inr,7.0,7.0,7.0,SPOT,7.0,0.0,0.0,0.0,2021-05-07 01:49:58,FET/INR,2021-05-07,01:49:58
xem,inr,28.3,33.85,29.18,SPOT,30.75,2921835.0,29.183,29.18,2021-05-07 01:49:58,XEM/INR,2021-05-07,01:49:58
zec,inr,21400.0,25399.99,24699.0,SPOT,22000.01,296.31,24695.0,23651.46,2021-05-07 01:49:58,ZEC/INR,2021-05-07,01:49:58
busd,inr,77.0,78.2,77.3,SPOT,77.8,59575.69,77.3,77.18,2021-05-07 01:49:58,BUSD/INR,2021-05-07,01:49:58
yfii,inr,206000.01,216500.0,209999.99,SPOT,205000.0,36.007963,213999.99,209999.99,2021-05-07 01:49:58,YFII/INR,2021-05-07,01:49:58
doge,inr,42.0,53.49,43.2,SPOT,50.1034,70159287.0,43.25,43.2,2021-05-07 01:49:58,DOGE/INR,2021-05-07,01:49:58
dot,inr,3000.0,3400.0,3160.0,SPOT,3100.0,15360.24,3259.68,3160.0,2021-05-07 01:49:58,DOT/INR,2021-05-07,01:49:58
vet,inr,15.8,18.865,18.4,SPOT,15.95,12743577.0,18.5,18.4,2021-05-07 01:49:58,VET/INR,2021-05-07,01:49:58
crv,inr,237.1,263.0,254.0,SPOT,237.1,37586.31,254.0,250.11,2021-05-07 01:49:58,CRV/INR,2021-05-07,01:49:58
ren,inr,74.0,79.5,75.05,SPOT,75.37,134990.7,76.44,75.05,2021-05-07 01:49:58,REN/INR,2021-05-07,01:49:58
enj,inr,190.0,202.0,194.1108,SPOT,198.1,159100.2,194.1009,194.1,2021-05-07 01:49:58,ENJ/INR,2021-05-07,01:49:58
mana,inr,106.5,121.5,116.0,SPOT,108.2,167306.9,117.8,116.0,2021-05-07 01:49:58,MANA/INR,2021-05-07,01:49:58
hbar,inr,23.033,24.75,23.2,SPOT,23.59098,2360043.6,23.25781,23.13,2021-05-07 01:49:58,HBAR/INR,2021-05-07,01:49:58
uma,inr,1922.0,2035.0,1970.0,SPOT,1989.99,1527.114,1970.0,1969.0,2021-05-07 01:49:58,UMA/INR,2021-05-07,01:49:58
chr,inr,26.3,29.2,26.6073,SPOT,28.6,2072629.0,26.6073,26.6,2021-05-07 01:49:58,CHR/INR,2021-05-07,01:49:58
paxg,inr,0.0,0.0,0.0,SPOT,0.0,0.0,0.0,0.0,2021-05-07 01:49:58,PAXG/INR,2021-05-07,01:49:58
1inch,inr,483.01,589.0,525.0,SPOT,495.95,396296.26,525.0,522.0,2021-05-07 01:49:58,1INCH/INR,2021-05-07,01:49:58
