base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
btc,usdt,55480.0,58217.0,56812.0,SPOT,57113.0,17.93641,56811.0,56553.0,2021-05-07 00:33:59,BTC/USDT,2021-05-07,00:33:59
trx,usdt,0.13601,0.16183,0.16134,SPOT,0.14544,10821133.0,0.1613,0.15587,2021-05-07 00:33:59,TRX/USDT,2021-05-07,00:33:59
xrp,usdt,1.55,1.75155,1.5991,SPOT,1.6944,1129361.5,1.601,1.595,2021-05-07 00:33:59,XRP/USDT,2021-05-07,00:33:59
eos,usdt,8.5,13.27,12.001,SPOT,8.9326,125051.07,12.4,12.001,2021-05-07 00:33:59,EOS/USDT,2021-05-07,00:33:59
eth,usdt,3380.0,3625.0,3512.52,SPOT,3524.06,358.9284,3509.03,3497.23,2021-05-07 00:33:59,ETH/USDT,2021-05-07,00:33:59
icx,usdt,2.3195,2.5407,2.4864,SPOT,2.3345,28083.88,2.4757,2.4589,2021-05-07 00:33:59,ICX/USDT,2021-05-07,00:33:59
ltc,usdt,325.0,359.0,353.53,SPOT,350.0,1147.529,354.4,353.0,2021-05-07 00:33:59,LTC/USDT,2021-05-07,00:33:59
tusd,usdt,0.9631,1.0034,1.0029,SPOT,0.996,173618.76,1.0033,1.0025,2021-05-07 00:33:59,TUSD/USDT,2021-05-07,00:33:59
hot,usdt,0.01423,0.0156687,0.014884,SPOT,0.01464,32600847.0,0.014877,0.014796,2021-05-07 00:33:59,HOT/USDT,2021-05-07,00:33:59
bat,usdt,1.32,1.4593,1.4527,SPOT,1.3755,101048.62,1.4625,1.449,2021-05-07 00:33:59,BAT/USDT,2021-05-07,00:33:59
dash,usdt,374.99,476.37,474.02,SPOT,386.64,365.29,473.88,471.88,2021-05-07 00:33:59,DASH/USDT,2021-05-07,00:33:59
ncash,usdt,0.0066,0.007291,0.00673,SPOT,0.006982,29725936.0,0.006761,0.006729,2021-05-07 00:33:59,NCASH/USDT,2021-05-07,00:33:59
qkc,usdt,0.03102,0.0334,0.03217,SPOT,0.0333,2922282.0,0.03249,0.03218,2021-05-07 00:33:59,QKC/USDT,2021-05-07,00:33:59
zil,usdt,0.204,0.25736,0.232,SPOT,0.209,2028655.0,0.23247,0.23041,2021-05-07 00:33:59,ZIL/USDT,2021-05-07,00:33:59
