base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1411.0,1562.0,1530.0,SPOT,1476.0,93.8358,1549.0,1530.0,2021-05-07 00:26:00,ETH/WRX,2021-05-07,00:26:00
xrp,wrx,0.677,0.75,0.713,SPOT,0.715,191326.3,0.707,0.7,2021-05-07 00:26:00,XRP/WRX,2021-05-07,00:26:00
yfi,wrx,22000.0,24458.0,22887.0,SPOT,23000.0,0.378339,24399.0,22795.0,2021-05-07 00:26:00,YFI/WRX,2021-05-07,00:26:00
bnb,wrx,262.85,284.25,275.21,SPOT,277.0,122.737,278.51,273.9,2021-05-07 00:26:00,BNB/WRX,2021-05-07,00:26:00
trx,wrx,0.0576,0.0681,0.0672,SPOT,0.0627,2705814.0,0.0681,0.0675,2021-05-07 00:26:00,TRX/WRX,2021-05-07,00:26:00
eos,wrx,3.63,6.48,5.35,SPOT,3.76,21928.77,5.46,5.29,2021-05-07 00:26:00,EOS/WRX,2021-05-07,00:26:00
ltc,wrx,138.1,155.0,155.0,SPOT,152.0,164.648,157.4,154.4,2021-05-07 00:26:00,LTC/WRX,2021-05-07,00:26:00
link,wrx,19.24,21.34,20.88,SPOT,20.53,1513.96,21.12,20.69,2021-05-07 00:26:00,LINK/WRX,2021-05-07,00:26:00
enj,wrx,1.032,1.1,1.08,SPOT,1.082,22008.3,1.095,1.076,2021-05-07 00:26:00,ENJ/WRX,2021-05-07,00:26:00
doge,wrx,0.23488,0.28,0.24564,SPOT,0.27366,2573320.0,0.24564,0.24511,2021-05-07 00:26:00,DOGE/WRX,2021-05-07,00:26:00
matic,wrx,0.3225,0.3425,0.3357,SPOT,0.3378,251792.6,0.34,0.3339,2021-05-07 00:26:00,MATIC/WRX,2021-05-07,00:26:00
ada,wrx,0.605,0.74,0.7265,SPOT,0.633,170511.0,0.7318,0.7269,2021-05-07 00:26:00,ADA/WRX,2021-05-07,00:26:00
bat,wrx,0.562,0.63,0.63,SPOT,0.588,11725.46,0.63,0.627,2021-05-07 00:26:00,BAT/WRX,2021-05-07,00:26:00
