base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1411.0,1562.0,1543.0,SPOT,1436.0,129.1084,1555.0,1543.0,2021-05-06 21:23:58,ETH/WRX,2021-05-06,21:23:58
xrp,wrx,0.653,0.75,0.72,SPOT,0.66,246695.1,0.723,0.711,2021-05-06 21:23:59,XRP/WRX,2021-05-06,21:23:59
yfi,wrx,22000.0,24458.0,23593.0,SPOT,22107.0,0.659656,24026.0,23632.0,2021-05-06 21:23:59,YFI/WRX,2021-05-06,21:23:59
bnb,wrx,262.85,284.25,277.11,SPOT,268.3,123.62,281.48,277.82,2021-05-06 21:23:59,BNB/WRX,2021-05-06,21:23:59
trx,wrx,0.0569,0.068,0.0655,SPOT,0.0569,3063521.0,0.0657,0.0653,2021-05-06 21:23:59,TRX/WRX,2021-05-06,21:23:59
eos,wrx,3.35,6.48,5.28,SPOT,3.47,22266.45,5.27,5.21,2021-05-06 21:23:59,EOS/WRX,2021-05-06,21:23:59
ltc,wrx,138.1,155.0,149.3,SPOT,144.0,167.672,149.5,147.3,2021-05-06 21:23:59,LTC/WRX,2021-05-06,21:23:59
link,wrx,19.24,21.34,20.95,SPOT,20.14,1669.11,21.11,20.8,2021-05-06 21:23:59,LINK/WRX,2021-05-06,21:23:59
enj,wrx,1.032,1.1,1.086,SPOT,1.064,24103.5,1.099,1.086,2021-05-06 21:23:59,ENJ/WRX,2021-05-06,21:23:59
doge,wrx,0.23488,0.28346,0.2621,SPOT,0.25885,2769834.0,0.2621,0.26104,2021-05-06 21:23:59,DOGE/WRX,2021-05-06,21:23:59
matic,wrx,0.3225,0.3514,0.3375,SPOT,0.3321,350955.2,0.3395,0.3355,2021-05-06 21:23:59,MATIC/WRX,2021-05-06,21:23:59
ada,wrx,0.6025,0.735,0.7298,SPOT,0.6019,158607.1,0.735,0.71,2021-05-06 21:23:59,ADA/WRX,2021-05-06,21:23:59
bat,wrx,0.554,0.62,0.603,SPOT,0.55,12715.16,0.609,0.602,2021-05-06 21:23:59,BAT/WRX,2021-05-06,21:23:59
eth,wrx,1411.0,1562.0,1556.0,SPOT,1416.0,139.6742,1562.0,1549.0,2021-05-06 19:36:00,ETH/WRX,2021-05-06,19:36:00
xrp,wrx,0.646,0.75,0.725,SPOT,0.65,254044.8,0.725,0.705,2021-05-06 19:36:00,XRP/WRX,2021-05-06,19:36:00
yfi,wrx,21825.0,24458.0,24058.0,SPOT,21825.0,0.692398,24339.0,21500.0,2021-05-06 19:36:00,YFI/WRX,2021-05-06,19:36:00
bnb,wrx,262.85,283.41,282.12,SPOT,264.01,122.321,284.25,281.13,2021-05-06 19:36:00,BNB/WRX,2021-05-06,19:36:00
trx,wrx,0.0561,0.068,0.0654,SPOT,0.0561,3181490.0,0.0659,0.0654,2021-05-06 19:36:00,TRX/WRX,2021-05-06,19:36:00
eos,wrx,3.35,6.48,5.07,SPOT,3.43,18683.49,5.1,5.02,2021-05-06 19:36:00,EOS/WRX,2021-05-06,19:36:00
ltc,wrx,138.1,155.0,149.3,SPOT,146.6,161.608,149.3,148.5,2021-05-06 19:36:00,LTC/WRX,2021-05-06,19:36:00
link,wrx,19.24,21.34,20.78,SPOT,19.98,1700.17,21.06,20.78,2021-05-06 19:36:00,LINK/WRX,2021-05-06,19:36:00
enj,wrx,1.032,1.1,1.1,SPOT,1.03,23655.5,1.1,1.087,2021-05-06 19:36:00,ENJ/WRX,2021-05-06,19:36:00
doge,wrx,0.23488,0.28346,0.26044,SPOT,0.25204,2783152.0,0.26445,0.25898,2021-05-06 19:36:00,DOGE/WRX,2021-05-06,19:36:00
matic,wrx,0.3225,0.3514,0.3374,SPOT,0.3285,364536.4,0.3378,0.3331,2021-05-06 19:36:00,MATIC/WRX,2021-05-06,19:36:00
ada,wrx,0.5869,0.71,0.7019,SPOT,0.5838,154968.0,0.6981,0.68,2021-05-06 19:36:00,ADA/WRX,2021-05-06,19:36:00
bat,wrx,0.55,0.61,0.61,SPOT,0.55,13178.5,0.62,0.607,2021-05-06 19:36:00,BAT/WRX,2021-05-06,19:36:00
eth,wrx,1411.0,1562.0,1527.0,SPOT,1467.0,79.8164,1527.0,1519.0,2021-05-07 03:25:59,ETH/WRX,2021-05-07,03:25:59
xrp,wrx,0.67,0.728,0.689,SPOT,0.721,153382.2,0.695,0.689,2021-05-07 03:25:59,XRP/WRX,2021-05-07,03:25:59
yfi,wrx,21796.0,24458.0,22442.0,SPOT,22676.0,0.409999,23098.0,22618.0,2021-05-07 03:25:59,YFI/WRX,2021-05-07,03:25:59
bnb,wrx,262.85,284.25,274.18,SPOT,271.47,124.315,278.2,274.58,2021-05-07 03:25:59,BNB/WRX,2021-05-07,03:25:59
trx,wrx,0.0576,0.074,0.0684,SPOT,0.0605,2947611.0,0.0697,0.0684,2021-05-07 03:25:59,TRX/WRX,2021-05-07,03:25:59
eos,wrx,3.63,6.48,5.16,SPOT,3.91,23941.34,5.15,5.1,2021-05-07 03:25:59,EOS/WRX,2021-05-07,03:25:59
ltc,wrx,138.1,163.5,158.9,SPOT,145.9,183.383,158.9,157.2,2021-05-07 03:25:59,LTC/WRX,2021-05-07,03:25:59
link,wrx,19.24,21.34,21.25,SPOT,20.23,1433.17,21.17,20.23,2021-05-07 03:25:59,LINK/WRX,2021-05-07,03:25:59
enj,wrx,1.032,1.1,1.095,SPOT,1.06,24401.6,1.097,1.079,2021-05-07 03:25:59,ENJ/WRX,2021-05-07,03:25:59
doge,wrx,0.225,0.27298,0.26314,SPOT,0.27225,2724253.0,0.26399,0.26,2021-05-07 03:25:59,DOGE/WRX,2021-05-07,03:25:59
